field_1,Codigo,Nombre,Elevacion,Lat,Lon,Norte,Este
"0","24020080",VALLE DE SAN JOSE,"1300",6.441111110000000,-73.142777780000003,2269733.186760,4984218.331977
"1","24030210",CERRITO,"2440",6.836111110000000,-72.697222220000000,2313389.254857,5033440.414151
"2","24030270",SAN ANDRES,"1702",6.830000000000000,-72.844166670000007,2312706.234147,5017211.235963
"3","23190140",PLAYON EL,"500",7.464722220000000,-73.201388890000004,2382847.234636,4977787.970711
"4","23190700",PIEDECUESTA GRANJA,"10",6.993333330000000,-73.067777780000000,2330752.630495,4992516.762363
"5","21115020",AEROPUERTO BENITO SALAS,"439",2.948750000000000,-75.293055559999999,1884109.857931,4745209.763312
"6","24010230",CONFINES,"1523",6.355277780000000,-73.239722220000004,2260252.569562,4973498.293092
"7","24020120",COROMORO,"1520",6.299444440000000,-73.044722219999997,2254077.099747,4995055.364013
"8","23080650",CAMPOALEGRE,"1850",6.073777780000000,-75.335611110000002,2229698.542253,4741587.176256
"9","23080740",CONCEPCION,"1280",6.396944440000000,-75.259166669999999,2265399.487624,4750202.532039
"10","23180070",SABANA DE TORRES,"144",7.390000000000000,-73.489444440000000,2374614.694783,4946007.461091
"11","23190340",MATAJIRA,"996",7.213333330000000,-73.064722219999993,2355063.210877,4992857.517947
"12","23210010",PUERTO MOSQUITO,"90",8.185000000000000,-73.755277780000000,2462515.505999,4916837.918722
"13","26040290",AGUADA LA,"293",2.880527780000000,-76.407499999999999,1876876.199384,4621234.269707
"14","27020210",ANGOSTURA,"1650",6.883055560000000,-75.332472220000000,2319194.951722,4742345.962410
"15","21020040",VISO EL,"117",2.017138890000000,-75.907222219999994,1781204.597611,4676688.093747
"16","21060070",GIGANTE 2,"850",2.388916670000000,-75.538083330000006,1822253.102155,4717839.004972
"17","23190560",SAN RAFAEL,"84",7.574444440000000,-73.559722219999998,2395006.736087,4938280.548122
"18","26020460",POLINDARA,"2507",2.487583330000000,-76.404666669999997,1833382.567379,4621428.413430
"19","24020130",CURITI 2,"1626",6.598250000000000,-73.056111110000003,2287095.196247,4993799.802227
"20","26030070",DINDE,"1246",2.697416670000000,-76.754722220000005,1856722.488211,4582520.667375
"21","26070760",FLORIDA,"159",3.327777780000000,-76.239138890000007,1926316.905325,4640120.899100
"22","21160160",LLANITOS,"1388",3.620555560000000,-74.799722220000007,1958273.137971,4800180.167842
"23","24010210",JESUS MARIA,"1920",5.873333330000000,-73.781666670000007,2207052.714861,4913505.613899
"24","24030680",PARAMO EL,"2394",6.653333330000000,-72.590833329999995,2293200.290549,5045207.688460
"25","23100030",TIGRE EL,"1450",6.840472220000000,-74.785666669999998,2314226.828199,4802752.773204
"26","26230010",OLAYA,"575",6.628722220000000,-75.810888890000001,2291342.355922,4689297.700792
"27","26240060",MANIZALES,"75",7.836666670000000,-75.415000000000006,2424709.361631,4733794.237117
"28","21130180",ALTAMIRA DC HACIENDA,"500",3.453611110000000,-75.150888890000004,1939899.400658,4761131.204443
"29","26230200",SABANALARGA,"10",6.846000000000000,-75.814805559999996,2315382.638146,4689003.086786
"30","21030090",JAGUA LA,"755",2.202944440000000,-75.677722220000007,1801712.432192,4702265.632548
"31","26170150",PUEBLORRICO,"2100",5.791055560000000,-75.838805559999997,2198686.962064,4685712.369983
"32","26210090",ANZA,"550",6.303138890000000,-75.859250000000003,2255352.017873,4683745.179356
"33","26040250",CORINTO,"1107",3.179111110000000,-76.247694440000004,1909867.515584,4639116.347036
"34","21040030",OPORAPA,"1614",2.030944440000000,-76.100305559999995,1782771.877976,4655197.826020
"35","21060040",PITA LA,"1330",2.202027780000000,-75.548583330000000,1801585.844058,4716634.089943
"36","21060080",GARZON,"990",2.190083330000000,-75.605055559999997,1800275.626987,4710348.585901
"37","21115060",SAN JOSE,"400",3.329222220000000,-75.184055560000004,1926154.123427,4757415.051520
"38","21180160",SUAREZ,"319",4.055944440000000,-74.841499999999996,2006413.715187,4795643.669577
"39","21201300",AUSTRALIA,"3050",4.394250000000001,-74.132000000000005,2043656.416718,4874446.681064
"40","23190590",FLORESTA LA,"925",7.090277780000000,-73.123888890000003,2341466.519966,4986324.455746
"41","25020530",LA ILUSION,"500",8.025499999999999,-75.089749999999995,2445397.841157,4769768.336086
"42","26160080",SALAMINA CONC BARC,"1890",5.395444440000000,-75.489305560000005,2154750.807934,4724246.256609
"43","26220090",GIRALDO,"10",6.688055560000000,-75.957222220000006,2298001.444998,4673148.296026
"44","26010020",COCONUCO,"2419",2.343361110000000,-76.495500000000007,1817444.440156,4611274.956894
"45","21010110",INSFOPAL,"1265",1.844916670000000,-76.074416670000005,1762182.945821,4658042.475850
"46","23155030",AEROPUERTO YARIGUIES,"126",7.026388890000000,-73.808611110000001,2334481.872938,4910725.941836
"47","25021480",ESPERANZA LA RADIO,"31",8.031944440000000,-74.788527779999995,2445953.410914,4802968.969192
"48","26160090",PACORA PLAZA FERIA,"712",5.522444440000000,-75.455083329999994,2168781.126496,4728096.839799
"49","21050250",ALTAMIRA,"2235",2.501000000000000,-76.095166669999998,1834782.215882,4655881.110885
"50","27010900",GOMEZ PLATA,"1850",6.677805560000000,-75.219805559999998,2296438.580407,4754693.937154
"51","21110090",POTOSI,"400",3.387138890000000,-75.169250000000005,1932554.271299,4759074.515830
"52","24035130",U P T C,"2690",5.543077500000000,-73.360813059999998,2170512.275746,4960052.767397
"53","21080080",MINA LA,"1800",2.793055560000000,-75.632000000000005,1866972.575992,4707483.854373
"54","21130110",PRAGA,"185",3.268583330000000,-75.490666669999996,1919528.601596,4723322.560781
"55","27010870",BELMIRA,"2540",6.609166670000000,-75.668333329999996,2289092.053212,4705054.963587
"56","21200620",PISCIS,"2820",5.079166670000000,-73.696861110000000,2119281.717472,4922788.288681
"57","21201180",GUANQUICA,"2950",5.184277780000000,-73.941111109999994,2130931.742023,4895740.532157
"58","25020940",VILLANUEVA,"45",8.332777780000002,-74.735555559999995,2479187.637074,4808949.775211
"59","25020810",ASTILLEROS,"40",8.291333330000002,-74.605722220000004,2474545.489616,4823227.037410
"60","26180200",MONTEBELLO,"560",5.950833330000000,-75.536833329999993,2216200.592256,4719247.016477
"61","26020230",ROSARIO EL,"1767",2.606555560000000,-76.756083329999996,1846662.213355,4582338.549694
"62","27030090",BOSQUE EL,"220",7.319305560000000,-74.839333330000002,2367188.171089,4797032.253495
"63","26080280",PICHINDE,"1637",3.438194440000000,-76.601555559999994,1938680.818467,4599850.179750
"64","21050090",NATAGA,"1545",2.551444440000000,-75.806500000000000,1840290.178544,4688014.055332
